Reaction_ID,RAS
ADNtm,81
ADPMAN,37.6667
ADPRIBt,0
ADPtx,NaN
ADRNCOAtx,NaN
ADRNCPT1,16
ADRNCPT2,13.3333
ADRNCRNt,6
ADRNLPVESSEC,10.6667
ADRNt,NaN
ADSK,158
ADSL1,79.3334
ADSL2,79.3334
AFLATOXINte,NaN
AG13T16g,136.0001
AG13T17g,136.0001
AG13T18g,136.0001
AG13T1g,136.0001
AG13T2g,136.0001
AG13T3g,136.0001
AGMTm,0.33333
AGPAT1,376.3332
AGTim,0
AGTix,0
AHANDROSTANGLCte,130.3333
AHANDROSTANGLCtr,NaN
AHCYStr,NaN
AHEXASE2ly,157.9999
AHEXASEly,157.9999
AIRCr,561.6667
AKGDm,84
AKGMALtm,39.6666
AKGt4_3,4.6666
AKGtp,NaN
AKR1C1,2
AKR1C41,0
AKR1C42,0
AKR1D,0
AKR1D2,0
ALAASNNaEx,219
ALACYSNaEx,327.3333
ALADGLNexR,3.3333
ALADGLYexR,3.3333
ALAGLNexR,3.3333
ALAGLNNaEx,219
ALAGLYexR,3.3333
ALASERNaEx,327.3333
ALASm,147
ALAt4,500.3333
ALATA_L,83.3333
ALATHRNaEx,327.3333
ALAtN1,3.6667
ALCD21_D,249.3334
ALCD21_L,249.3334
ALCD22_D,249.3334
ALCD22_L,249.3334
ALCD2if,249.3334
ALCD2yf,102
ALDD20x,264
ALDD20xm,203.9999
ALDD21,0
ALDD2xm,171.3333
ALDD2y,196.3333
ALDSTRNte,NaN
ALDSTRNtm,NaN
ALOX12,7
ALOX15,0
ALOX5,25.3333
ALOX52,25.3333
ALR2,212.3334
ALR3,212.3334
AMACR2p,3.3334
AMACRp,3.3334
AMCOXO,NaN
AMETr,NaN
AMETt2m,35.0001
AMPDA,352.6668
AMPTASECGe,0.33333
AMPtp,NaN
AMY1e,9.6667
AMY2e,9.6667
ANDRSTRNGLCte,130.3333
ANDRSTRNGLCtr,NaN
ANDRSTRNte,NaN
ANDRSTRNtr,NaN
ANTIPYRENEte,NaN
AOBUTDsm,NaN
APAT2rm,90.6666
APNNOXte,NaN
APOCF,NaN
APOCFm,NaN
APOC_LYS_BTNP,NaN
APOC_LYS_BTNPm,NaN
APPNNte,NaN
APRTO2,32
AQCOBALt,NaN
ARAB_Lt,NaN
ARABR,212.3334
ARACHCOAtx,NaN
ARACHCPT1,16
ARACHCPT2,13.3333
ARACHCRNt,3
ARACHDCOAtx,NaN
ARACHDt2,2.6667
ARACHDtr,NaN
ARACHt,NaN
ARGDCm,14.6667
ARGLYSex,3.3333
ARGNm,12
ARGSS,72.6666
ARGt4,64.6667
ARGtm,36.3333
ARSA,31.6667
ARTCOAL1,NaN
ARTCOAL2,NaN
ARTCOAL3,NaN
R_group_phosphotase_1,NaN
R_group_phosphotase_2,NaN
R_group_phosphotase_3,NaN
ARTFR208,NaN
ARTPLM3,NaN
ARTPLM3m,NaN
ASAH1,147.3334
ASCBOX,NaN
ASCBt,NaN
ASCBt4,151.3334
ASNALANaEx,219
ASNCYSNaEx,219
ASNGLNNaEx,219
ASNNm,4.6667
ASNS1,35.0001
ASNSERNaEx,219
ASNt4,348
ASNTHRNaEx,219
ASNtm,NaN
ASNtN1,3.6667
ASPCTr,214.3333
ASPDt6,39.6667
ASPDxt,NaN
ASPGLUm,90.6667
ASPNATm,NaN
ASPt6,39.6667
ASPTAm,204
ATP1ter,NaN
ATP2ter,NaN
ATPasel,11.6669
ATPH1e,142
ATPH2e,144
ATPtm,520.6666
ATPtn,NaN
ATPtx,NaN
AVITE2t,NaN
B_MANNASEly,33.3333
B3GALT3g,156
B3GALT41g,0.33333
B3GALT42g,0.33333
B3GALT43g,0.33333
B3GALT44g,0.33333
B3GALT5g,45
B3GALTg,NaN
B3GNT11g,34.6667
B3GNT12g,41.3334
B3GNT310g,0.66667
B3GNT311g,0.66667
B3GNT312g,0.66667
B3GNT313g,0.66667
B3GNT314g,0.66667
B3GNT315g,0.66667
B3GNT31g,0.66667
B3GNT32g,0.66667
B3GNT33g,0.66667
B3GNT34g,0.66667
B3GNT35g,0.66667
B3GNT36g,0.66667
B3GNT37g,0.66667
B3GNT39g,0.66667
B3GNT51g,32.3333
BAAT1x,0.33333
BAAT2x,0.33333
BAAT3x,0.33333
BAAT4x,0.33333
BACCL,17
BACCLm,17
BALAtmr,NaN
BALAVECSEC,0
BAMPPALDOX,264
BBHOX,0.33333
BCDO,0
BDHm,45.9999
BETALDHxm,NaN
BHBt,NaN
