Reaction_ID,RAS
10FTHF5GLUtl,NaN
10FTHF5GLUtm,NaN
10FTHF6GLUtl,NaN
10FTHF6GLUtm,NaN
10FTHF7GLUtl,NaN
10FTHF7GLUtm,NaN
10FTHFtl,NaN
10FTHFtm,NaN
11DOCRTSLtm,NaN
11DOCRTSLtr,NaN
11DOCRTSTRNtm,NaN
11DOCRTSTRNtr,NaN
13DAMPPOX,46.3333
1a_24_25VITD2Hm,NaN
1a_25VITD2Hm,NaN
1MNCAMti,NaN
1PPDCRp,NaN
24_25DHVITD2t,NaN
24_25DHVITD2tm,NaN
24_25DHVITD3t,NaN
24_25DHVITD3tm,NaN
24_25VITD2Hm,18.6667
24_25VITD3Hm,18.6667
24NPHte,NaN
25HVITD2t,NaN
25HVITD2tin_m,NaN
25HVITD3t,NaN
25HVITD3tin_m,NaN
25VITD2Hm,20.6667
25VITD3Hm,20.6667
2AMACHYD,2
2AMACSULT,3.3333
2AMADPTm,1.6667
2DR1PP,NaN
2HBO,1812.0002
2HBt2,505
2HCO3_NAt,73.3333
2MCITt,NaN
2OXOADOXm,116.6666
2OXOADPTm,1.6667
34DHOXPEGOX,6.3333
34DHOXPEGt,NaN
34DHPHAMT,268
34DHPHEt,4
34DHPLACOX,132
34DHPLACOX_NADP_,1
34DHXMANDACOX,132
34DHXMANDACOX_NADP_,0.66667
34HPLFM,NaN
34HPPOR,0.33333
35CGMPtn,NaN
3AIBTm,126.6666
3AIBtmi,126.6666
3DPHBH1,NaN
3DPHBH2,NaN
3DSPHR,71.6667
3HAO,4.3333
3HBCDm,1
3HBCOAHLm,NaN
3HKYNAKGAT,68.9999
3HLYTCL,0
3M4HDXPAC,132
3MLDAt,NaN
3MOBt2im,NaN
3MOPt2im,NaN
3MOX4HOXPGALDOX,132
3MOX4HOXPGALDOX_NADP_,132
3MOXTYROX,33
3SALAASPm,122.6667
3SALACBOXL,19
3SALAOX,NaN
3SALATAi,200.6667
3SALATAim,343
3SPYRSP,NaN
3SPYRSPm,NaN
41R1H2MAE12BOOX,33
41R2A1H12BOOX,33
42A12BOOX,79.3333
4ABUTtm,NaN
4HBZCOAFm,NaN
4HBZFm,NaN
4HDEBRISOQUINEte,NaN
4HGLSDm,58.6666
