Reaction_ID,RAS
10FTHF5GLUtl,NaN
10FTHF5GLUtm,NaN
10FTHF6GLUtl,NaN
10FTHF6GLUtm,NaN
10FTHF7GLUtl,NaN
10FTHF7GLUtm,NaN
10FTHFtl,NaN
10FTHFtm,NaN
11DOCRTSLtm,NaN
11DOCRTSLtr,NaN
11DOCRTSTRNtm,NaN
11DOCRTSTRNtr,NaN
13DAMPPOX,44.6667
1a_24_25VITD2Hm,NaN
1a_25VITD2Hm,NaN
1MNCAMti,NaN
1PPDCRp,NaN
24_25DHVITD2t,NaN
24_25DHVITD2tm,NaN
24_25DHVITD3t,NaN
24_25DHVITD3tm,NaN
24_25VITD2Hm,26.3333
24_25VITD3Hm,26.3333
24NPHte,NaN
25HVITD2t,NaN
25HVITD2tin_m,NaN
25HVITD3t,NaN
25HVITD3tin_m,NaN
25VITD2Hm,10.6667
25VITD3Hm,10.6667
2AMACHYD,0.66667
2AMACSULT,2
2AMADPTm,0
2DR1PP,NaN
2HBO,1822.3332
2HBt2,387.3334
2HCO3_NAt,37.3332
2MCITt,NaN
2OXOADOXm,104
2OXOADPTm,0
34DHOXPEGOX,3.6667
34DHOXPEGt,NaN
34DHPHAMT,198.6666
34DHPHEt,2
34DHPLACOX,110.3333
34DHPLACOX_NADP_,1.3333
34DHXMANDACOX,110.3333
34DHXMANDACOX_NADP_,1
34HPLFM,NaN
34HPPOR,0
35CGMPtn,NaN
3AIBTm,94
3AIBtmi,94
3DPHBH1,NaN
3DPHBH2,NaN
3DSPHR,43
3HAO,2
3HBCDm,0.66667
3HBCOAHLm,NaN
3HKYNAKGAT,70.0001
3HLYTCL,0
3M4HDXPAC,110.3333
3MLDAt,NaN
3MOBt2im,NaN
3MOPt2im,NaN
3MOX4HOXPGALDOX,110.3333
3MOX4HOXPGALDOX_NADP_,110.3333
3MOXTYROX,33
3SALAASPm,111.3333
3SALACBOXL,22.6666
3SALAOX,NaN
3SALATAi,128
3SALATAim,320.6667
3SPYRSP,NaN
3SPYRSPm,NaN
41R1H2MAE12BOOX,33
41R2A1H12BOOX,33
42A12BOOX,77.6667
4ABUTtm,NaN
4HBZCOAFm,NaN
4HBZFm,NaN
4HDEBRISOQUINEte,NaN
4HGLSDm,32.6666
