Reaction_ID,RAS
10FTHF5GLUtl,NaN
10FTHF5GLUtm,NaN
10FTHF6GLUtl,NaN
10FTHF6GLUtm,NaN
10FTHF7GLUtl,NaN
10FTHF7GLUtm,NaN
10FTHFtl,NaN
10FTHFtm,NaN
11DOCRTSLtm,NaN
11DOCRTSLtr,NaN
11DOCRTSTRNtm,NaN
11DOCRTSTRNtr,NaN
13DAMPPOX,46.9999
1a_24_25VITD2Hm,NaN
1a_25VITD2Hm,NaN
1MNCAMti,NaN
1PPDCRp,NaN
24_25DHVITD2t,NaN
24_25DHVITD2tm,NaN
24_25DHVITD3t,NaN
24_25DHVITD3tm,NaN
24_25VITD2Hm,19
24_25VITD3Hm,19
24NPHte,NaN
25HVITD2t,NaN
25HVITD2tin_m,NaN
25HVITD3t,NaN
25HVITD3tin_m,NaN
25VITD2Hm,18.3333
25VITD3Hm,18.3333
2AMACHYD,1.3333
2AMACSULT,4.6667
2AMADPTm,0.33333
2DR1PP,NaN
2HBO,1779.3335
2HBt2,433
2HCO3_NAt,50.6665
2MCITt,NaN
2OXOADOXm,118
2OXOADPTm,0.33333
34DHOXPEGOX,4
34DHOXPEGt,NaN
34DHPHAMT,245.3334
34DHPHEt,4.3333
34DHPLACOX,114.6667
34DHPLACOX_NADP_,3
34DHXMANDACOX,114.6667
34DHXMANDACOX_NADP_,3
34HPLFM,NaN
34HPPOR,1.3333
35CGMPtn,NaN
3AIBTm,78.6666
3AIBtmi,78.6666
3DPHBH1,NaN
3DPHBH2,NaN
3DSPHR,49.6667
3HAO,3
3HBCDm,0
3HBCOAHLm,NaN
3HKYNAKGAT,57.3333
3HLYTCL,0
3M4HDXPAC,114.6667
3MLDAt,NaN
3MOBt2im,NaN
3MOPt2im,NaN
3MOX4HOXPGALDOX,114.6667
3MOX4HOXPGALDOX_NADP_,114.6667
3MOXTYROX,43
3SALAASPm,115
3SALACBOXL,20
3SALAOX,NaN
3SALATAi,144.3333
3SALATAim,335.3333
3SPYRSP,NaN
3SPYRSPm,NaN
41R1H2MAE12BOOX,43
41R2A1H12BOOX,43
42A12BOOX,89.9999
4ABUTtm,NaN
4HBZCOAFm,NaN
4HBZFm,NaN
4HDEBRISOQUINEte,NaN
4HGLSDm,36
